time UTC,venturi_dp,venturi_flow,pt286,pt274,pt273,fv284,fv283,fv275,fv282,fv277,fv278,fv279,fv280
2020-11-06 10:49:40+00:00,93.32660675048828,2.014588240099892,4.483906506347656,1.9852616786956787,4.529295587921142,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:51:20+00:00,92.69184112548828,2.0076618380032714,4.48075032119751,1.9860507249832153,4.5174600128173825,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:53:00+00:00,93.75631713867188,2.0192637700912837,4.483906506347656,1.9860507249832153,4.524035120391845,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:54:40+00:00,92.64301300048828,2.0071280570064927,4.4773313987731935,1.9860507249832153,4.51561894454956,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:56:20+00:00,92.38910675048828,2.0043501256633,4.483380554962158,1.986576795578003,4.522720003509521,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:58:00+00:00,92.42328643798828,2.004724300086853,4.476016281890869,1.9834206104278564,4.519563818359375,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:59:40+00:00,93.92721557617188,2.021120278386845,4.4768054473876955,1.9878917932510376,4.520878935241699,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:01:20+00:00,92.52094268798828,2.0057929888274657,4.4768054473876955,1.9813164472579956,4.520089769744873,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:03:00+00:00,94.36668395996094,2.0258865820637246,4.4768054473876955,1.9852616786956787,4.520878935241699,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:04:40+00:00,91.68109893798828,1.9965837466254412,4.473386048126221,1.9839465618133545,4.51351466217041,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:06:20+00:00,93.80514526367188,2.019794373549323,4.484695671844483,1.9852616786956787,4.52535023727417,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:08:00+00:00,91.10490417480469,1.9902411115692658,4.470755814361572,1.9852616786956787,4.510884428405761,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:09:40+00:00,92.08148956298828,2.000979436602825,4.482591389465332,1.9847356081008911,4.522720003509521,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:11:20+00:00,129.97268676757812,2.380802723591084,4.387379406738281,1.9834206104278564,4.468275213623047,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:13:00+00:00,139.83612060546875,2.4701847365797085,4.336090802001953,1.9860507249832153,4.427507067108154,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:14:40+00:00,139.07928466796875,2.4634403292183786,4.326884030151367,1.9839465618133545,4.4188272003173825,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:16:20+00:00,143.14669799804688,2.4994740518530154,4.34187674407959,1.9847356081008911,4.4314519409179685,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:18:00+00:00,139.31365966796875,2.4655308769476205,4.317678688812256,1.9839465618133545,4.399890566253662,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:19:40+00:00,146.30593872070312,2.527110280896352,4.381330250549317,1.9873658418655396,4.472746515655517,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:21:20+00:00,143.547119140625,2.5029935940812043,4.399740933227539,1.9826315641403198,4.491946363830566,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:23:00+00:00,144.050048828125,2.5074071985565562,4.4071056831359865,1.986576795578003,4.5043093208312985,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:24:40+00:00,149.30892944335938,2.5531043972616305,4.426042317199707,1.9847356081008911,4.51351466217041,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:26:20+00:00,140.72967529296875,2.4781240381430867,4.403686283874512,1.9873658418655396,4.489316130065918,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:28:00+00:00,139.24041748046875,2.464877769804261,4.403686283874512,1.9852616786956787,4.492472315216064,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:29:40+00:00,144.85572814941406,2.514461643631193,4.417626141357422,1.9892069101333618,4.507728243255615,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:31:20+00:00,142.43869018554688,2.493238877784111,4.412365673828125,1.9852616786956787,4.502467775726318,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:33:00+00:00,143.464111328125,2.502264392202078,4.4215710151672365,1.9839465618133545,4.510884428405761,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:34:40+00:00,139.0548553466797,2.463222326396188,4.408946751403809,1.9834206104278564,4.4945765975952146,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 11:36:20+00:00,140.12908935546875,2.4727905737228046,4.40184521560669,1.9860507249832153,4.490631246948242,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
